Station Display Name,Access Category,Port 1: Voltage (V),Org Name,Address  1,Address  2,Floor Label,City,State,Postal Code,No. of Ports,EVSE Latitude and Longitude,New Georeferenced Column
ROSCOE PROPERTI / TIMBERCREEK 1,Multifamily Commercial,40A,Roscoe Properties,614 S 1st St,,,Austin,Texas,78704,2,30.256475,"(30.256475, -97.751759)"
AUSTIN / AUSTIN 200 3,Workplace,40A,Silicon Laboratories,200 W Cesar Chavez St,,G8,Austin,Texas,78701,2,30.264505,"(30.264505, -97.746067)"
PIE AE / RUTHERFORDCAMP1,Municipal,40A,AUSTIN ENERGY,8301 Cameron Rd,,,Austin,Texas,78754,2,30.337138,"(30.337138, -97.680658)"
HANOVER / LANTANA HILLS,Multifamily Commercial,40A,Hanover- Green Water Block 1,6601Rialto Blvd,,,Austin,Texas,78735,2,30.24912,"(30.24912, -97.862418)"
HPI 3700 / 3900 SC #2,Workplace,40A,HPI Real Estate Company,3900 N Capital of Texas Hwy,,4th,Austin,Texas,78746,2,30.337882,"(30.337882, -97.807765)"
LADERA BEND / GATED GARAGE 2,Workplace,40A,Ladera Bend,7300 Ranch Rd 2222,,M,Austin,Texas,78730,2,30.372159,"(30.372159, -97.80166)"
ENDEAVOR REG / BLUE GARAGE #1,Parking,40A,Endeavor Real Estate Group,11811 Domain Dr,,,Austin,Texas,78758,2,30.403697,"(30.403697, -97.722512)"
ENDEAVOR REG / PALM WAY #2,Parking,40A,Endeavor Real Estate Group,Palm Way,,,Austin,Texas,78758,2,30.403631,"(30.403631, -97.719901)"
PIE AE / PUBPEARSONH LN1,Education,40A,AUSTIN ENERGY,Center Line Pass,,,Austin,Texas,78753,2,30.416589,"(30.416589, -97.666054)"
PEARL LANTANA / STATION 04,Multifamily Commercial,40A,Pearl Lantana,6401 Rialto Blvd,,,Austin,Texas,78735,2,30.248663,"(30.248663, -97.857005)"
GALLERIA OAKS / GALLERIA OAKS 2,Workplace,40A,RMR Real Estate Services,3927 Ranch Rd 620 S,,1,Austin,Texas,78738,2,30.313186,"(30.313186, -97.946482)"
FLORA / STATION 1,Multifamily Commercial,40A,Flora Apartments,5406 Middle Fiskville Rd,,B2,Austin,Texas,78751,2,30.316671,"(30.316671, -97.714957)"
COA FLEET - PIE / ROOF3,Fleet,40A,US City of Austin Texas,700-798 E 9th St,,,Austin,Texas,78701,2,30.268894,"(30.268894, -97.734703)"
GALLERY DOMAIN / GALLERY DOMAIN,Multifamily Commercial,30A,Domain Parkside Apartments,11100 Alterra Pkwy,,,Austin,Texas,78758,2,30.396207,"(30.396207, -97.722102)"
PIE AE / CONVENTION CTR1,Parking,40A,AUSTIN ENERGY,111 Congress Ave,,,Austin,Texas,78701,2,30.263755,"(30.263755, -97.743423)"
MUELLER MARKET / MUELLER 4,Retail,40A,"Mueller Market Retail , LLC",Garcia St,,,Austin,Texas,78723,1,30.301615,"(30.301615, -97.69867)"
PIE AE / PUBLIFEWORKSST1,Workplace,,AUSTIN ENERGY,1504 Pennsylvania Ave,,,Austin,Texas,78702,2,30.271103,"(30.271103, -97.723054)"
PIE AE / PUBACCSOAUSTIN1,Education,30A,AUSTIN ENERGY,5517 Manchaca Rd,,,Austin,Texas,78745,2,30.216019,"(30.216019, -97.796332)"
CATHERINE / CATHERINE 1,Multifamily Commercial,40A,The Catherine,300 Barton Springs Rd,,3rd,Austin,Texas,78704,2,30.259096,"(30.259096, -97.747775)"
ENDEAVOR REG / BLUE GARAGE #3,Parking,40A,Endeavor Real Estate Group,11811 Domain Dr,,,Austin,Texas,78758,2,30.403779,"(30.403779, -97.722489)"
WEINSTEIN / BEXLEY 1,Multifamily Commercial,,Weinstein Properties,2801 S Lakeline Blvd,,,Cedar Park,Texas,78613,2,30.473632,"(30.473632, -97.809632)"
AVIATION / 1ST FLOOR R,Municipal,40A,City of Austin Dept. of Aviation,3201 Presidential Blvd,,1,Austin,Texas,78719,2,30.204594,"(30.204594, -97.669188)"
PIE AE / PUB-HEBCONGRESS,Retail,40A,AUSTIN ENERGY,2400-2424 S Congress Ave,,,Austin,Texas,78704,2,30.238689,"(30.238689, -97.753858)"
PIE AE / PUBAISDBURGERC,Parking,40A,AUSTIN ENERGY,3200 Jones Rd,,,Sunset Valley,Texas,78745,2,30.228455,"(30.228455, -97.809379)"
PIE AE / PUBACCHIGHLAND2,Education,40A,AUSTIN ENERGY,5930 Middle Fiskville Rd,,,Austin,Texas,78752,2,30.322727,"(30.322727, -97.712799)"
SCHOOL / TRAVIS1,Education,40A,Austin Independent School District,2430 S IH 35 Frontage Rd,,,Austin,Texas,78704,2,30.232148,"(30.232148, -97.743892)"
SCHOOL / TRAVIS2,Education,40A,Austin Independent School District,1211 E Oltorf St.,,,Austin,Texas,78704,2,30.232206,"(30.232206, -97.743837)"
WEINSTEIN / 3 FIVE,Multifamily Commercial,40A,Weinstein Properties,8003 S IH 35 Frontage Rd,,,Austin,Texas,78744,2,30.172599,"(30.172599, -97.777067)"
PIE AE / OTC 3FL PKGSTA3,Municipal,40A,AUSTIN ENERGY,505 Barton Springs Rd,,,Austin,Texas,78704,2,30.256917,"(30.256917, -97.749169)"
HPI 3700 / EV 5,Workplace,40A,HPI Real Estate Company,4339 N Capital of Texas Hwy,,,Austin,Texas,78746,1,30.336623,"(30.336623, -97.807619)"
PIE AE / ANIMAL SERVICE1,Municipal,40A,AUSTIN ENERGY,7201 Levander Loop,,,Austin,Texas,78702,2,30.251369,"(30.251369, -97.689082)"
COA FLEET - PIE / MEINARD #1,Fleet,40A,US City of Austin Texas,4393-4799 Meinardus Dr,,,Austin,Texas,78744,2,30.211361,"(30.211361, -97.752083)"
MUELLER MARKET / MUELLER ST7,Workplace,30A,"Mueller Market Retail , LLC",1801 E 51st St,,,Austin,Texas,78723,1,30.300934,"(30.300934, -97.699428)"
COA / NEWCENTRALLIB2,Municipal,40A,City of Austin Library,710 W Cesar Chavez St,,P1,Austin,Texas,78701,2,30.266118,"(30.266118, -97.751731)"
PIE AE / PUBWYNDHAMGARD1,Hospitality,40A,AUSTIN ENERGY,1600-1628 Woodward St,,,Austin,Texas,78741,2,30.222774,"(30.222774, -97.74635)"
ENCINO STATIONS / STATION 3,Workplace,40A,"ATX Office Owner 2, LP",5707 Southwest Pkwy,,,Austin,Texas,78735,1,30.243737,"(30.243737, -97.84575)"
AISD PAC / AISD PAC #1,Education,40A,Austin Independent School District,Mueller Blvd,,,Austin,Texas,78723,2,30.305454,"(30.305454, -97.702666)"
YETI RAMBLERS / EVSE #1,Workplace,40A,Yeti Coolers,7601 Southwest Pkwy,William Cannon,B1,Austin,Texas,78735,2,30.256412,"(30.256412, -97.871799)"
SAS / SAMSUNG 3,Workplace,40A,Samsung Austin Semiconductor,12100 samsung blvd,,,Austin,Texas,78754,2,30.377424,"(30.377424, -97.639722)"
NATIONAL INSTRU / 3&4,Workplace,40A,National Instruments,11500 N Mopac Expy,,2nd,Austin,Texas,78759,2,30.408744,"(30.408744, -97.725343)"
AVIATION / 4TH FLOOR,Municipal,40A,City of Austin Dept. of Aviation,3201 Presidential Blvd,,4,Austin,Texas,78719,2,30.204614,"(30.204614, -97.669503)"
DSMCUT / EVSE04 FLOOR L4,Healthcare,40A,Dell Seton Medical Center at The University of Texas,501-573 E 15th St,,,Austin,Texas,78701,2,30.275239,"(30.275239, -97.734584)"
PIE AE / PUB-STDAVIDSST2,Healthcare,40A,AUSTIN ENERGY,710 Trinity St,,,Austin,Texas,78701,2,30.268694,"(30.268694, -97.738907)"
PIE AE / ZILKERPARKPOLO1,Parks and Recreation,40A,AUSTIN ENERGY,2310 Andrew Zilker Rd,,,Austin,Texas,78746,2,30.266584,"(30.266584, -97.774925)"
RIO GRANDE GAR1 / AUSTIN CC AE 2,Education,40A,Austin Community College (AE),824 W 12th St,,,Austin,Texas,78701,2,30.276423,"(30.276423, -97.749389)"
WHITLEY MAIN / PIE-M WHITLEY,Multifamily Commercial,40A,Whitley,301 Brazos St,,,Austin,Texas,78701,2,30.265199,"(30.265199, -97.742194)"
PIE AE / PUB UTANTONIO 2,Education,40A,AUSTIN ENERGY,2420 San Antonio St,,4,Austin,Texas,78705,2,30.288705,"(30.288705, -97.742539)"
COA / NEWCENTRALLIB3,Municipal,40A,City of Austin Library,710 W Cesar Chavez St,,P1,Austin,Texas,78701,2,30.266102,"(30.266102, -97.751688)"
AMD GO GREEN / P100 FLOOR 5,Workplace,40A,AMD,7171 Southwest Pkwy,,,Austin,Texas,78735,2,30.251499,"(30.251499, -97.863984)"
GPT / GPT 2,Multifamily Commercial,40A,Gables Park Tower,830 W 3rd St,,,Austin,Texas,78701,2,30.268498,"(30.268498, -97.754605)"
AMBEROAKS-AE / AMBER 1,Multifamily Commercial,40A,Camden Amber Oaks,9001 Amberglen Blvd,,,Austin,Texas,78729,2,30.470002,"(30.470002, -97.766435)"
HPI 3700 / EV 1,Workplace,40A,HPI Real Estate Company,3700 N Capital of Texas Hwy,,,Austin,Texas,78746,1,30.33688,"(30.33688, -97.806575)"
ENDEAVOR REG / STATION 1,Workplace,40A,Endeavor Real Estate Group,11001 Lakeline Blvd,,,Austin,Texas,78717,2,30.479664,"(30.479664, -97.793921)"
PIE AE / SEAHOLML2,Parking,30A,AUSTIN ENERGY,811 1/2 Electric Drive,,,Austin,Texas,78703,2,30.266793,"(30.266793, -97.754031)"
COA FLEET - PIE / SPRING #1,Fleet,40A,US City of Austin Texas,800-816 Springdale Rd,,,Austin,Texas,78702,2,30.259113,"(30.259113, -97.699699)"
COA / DOA - CONRAC2,Municipal,40A,City of Austin Dept. of Aviation,3819 Presidential Blvd,,1,Austin,Texas,78719,2,30.204655,"(30.204655, -97.666451)"
AISD PAC / AISD PAC #5,Education,40A,Austin Independent School District,1301-1603 E 51st St,,,Austin,Texas,78723,2,30.305204,"(30.305204, -97.702108)"
CZPROPERTIES / FLOOR 3 UNIT 3,Workplace,40A,"CZ Properties, LLC",1400 Lavaca St,,3,Austin,Texas,78701,2,30.277017,"(30.277017, -97.742705)"
HYATT PLACE / HP STATION 1,Hospitality,40A,Hyatt Place- ABIA,Presidential Blvd,,,Austin,Texas,78719,2,30.210412,"(30.210412, -97.664797)"
PARKING LEVEL 1 / GATEWAY 1 MAIN,Multifamily Commercial,40A,The Kenzie at the Domain,11301 Domain Dr,,2nd,Austin,Texas,78758,2,30.3987,"(30.3987, -97.724056)"
ABIA RETAIL LLC / STATION 01,Retail,40A,"ABIA Retail, LLC",2901 Spirit of Texas Dr,,,Austin,Texas,78719,2,30.210696,"(30.210696, -97.668081)"
ENDEAVOR REG / 901 E 6TH ST 1,Workplace,40A,Endeavor Real Estate Group,901 E 6th St,,P1,Austin,Texas,78702,2,30.265044,"(30.265044, -97.733591)"
NATIONAL INSTRU / 15&16;,Workplace,40A,National Instruments,11500 N Mopac Expy,,1st,Austin,Texas,78759,2,30.408822,"(30.408822, -97.725196)"
PIE AE / ANIMAL SERVICE2,Municipal,40A,AUSTIN ENERGY,7201 Levander Loop,,,Austin,Texas,78702,2,30.251357,"(30.251357, -97.689015)"
ENDEAVOR REG / VILL WESTLAKE 1,Parking,40A,Endeavor Real Estate Group,701 S Capital of Texas Hwy,,,Austin,Texas,78746,2,30.291332,"(30.291332, -97.826267)"
W1 / W1,Workplace,40A,Westminster,4100 Jackson Ave,,,Austin,Texas,78731,2,30.315142,"(30.315142, -97.755709)"
WALLERCREEKSIDE / CREEKSIDE1,Multifamily Commercial,40A,PIE-M- 51st Living LTD,102-104 E 50th St,,,Austin,Texas,78751,1,30.315229,"(30.315229, -97.724395)"
NORTHPOINTCENTR / NORTHPOINT,Workplace,40A,Northpoint Centre,6834 Austin Center Blvd,,,Austin,Texas,78731,2,30.351629,"(30.351629, -97.752035)"
PRESIDIUM / VIOLET,Multifamily Commercial,40A,Presidium Group,409 E William Cannon Dr,,,Austin,Texas,78745,2,30.191582,"(30.191582, -97.775626)"
PIE AE / PUBDITTMAR2,Parks and Recreation,40A,AUSTIN ENERGY,1009 W Dittmar Rd,,,Austin,Texas,78745,2,30.185301,"(30.185301, -97.80118)"
PIE AE / PUB DELL1,Healthcare,40A,AUSTIN ENERGY,1345 Philomena St,,,Austin,Texas,78723,2,30.302504,"(30.302504, -97.706976)"
PIE AE / CONVENTION CTR2,Parking,40A,AUSTIN ENERGY,111 Congress Ave,,,Austin,Texas,78701,2,30.263746,"(30.263746, -97.743476)"
COA FLEET - PIE / RUTHERFORD #3,Fleet,40A,US City of Austin Texas,1520 Rutherford Ln,,,Austin,Texas,78754,2,30.335857,"(30.335857, -97.679413)"
COA FLEET - PIE / BARTON #4,Fleet,40A,US City of Austin Texas,505 Barton Springs Rd,,,Austin,Texas,78704,2,30.257339,"(30.257339, -97.749324)"
3600WESTPARMER! / STATION1,Retail,30A,Amplify Credit Union,3600 W Parmer Ln,,,Austin,Texas,78727,2,30.424046,"(30.424046, -97.710431)"
NATIONAL INSTRU / 23&24;,Workplace,40A,National Instruments,11500B N Mopac Expy,,,Austin,Texas,78759,2,30.407286,"(30.407286, -97.727058)"
ABOR / PARKING_P1,Workplace,40A,Austin Board of Realtors,4800 Spicewood Springs Rd,Level P1,P1,Austin,Texas,78759,2,30.376549,"(30.376549, -97.763262)"
PIE AE / OTC 3FL PKGSTA2,Parking,40A,AUSTIN ENERGY,505 BARTON springs rd.,,,Austin,Texas,78704,2,30.256863,"(30.256863, -97.748959)"
DOMAIN / LEFT STATION,Parking,40A,Domain Junction,11501 Alterra Pkwy,,,Austin,Texas,78758,1,30.401181,"(30.401181, -97.719499)"
HANOVER / L3,Multifamily Commercial,40A,Hanover- Green Water Block 1,110 San Antonio St,,L3 south,Austin,Texas,78701,1,30.265425,"(30.265425, -97.749045)"
ENDEAVOR REG / NORDSTROM L2 #1,Parking,40A,Endeavor Real Estate Group,11501 Alterra Pkwy,,L2,Austin,Texas,78758,2,30.401517,"(30.401517, -97.719927)"
BURNET FLATS / BURNET FLATS G1,Multifamily Commercial,40A,Burnet Flats,5453 Burnet Rd,,1,Austin,Texas,78756,2,30.330046,"(30.330046, -97.739251)"
HPI 3700 / 3900 SC #1,Workplace,40A,HPI Real Estate Company,3900 N Capital of Texas Hwy,,4th,Austin,Texas,78746,2,30.337898,"(30.337898, -97.807867)"
PIE AE / PUBGABLESPRESS2,Multifamily Commercial,40A,AUSTIN ENERGY,507 Pressler St,,G,Austin,Texas,78703,2,30.273037,"(30.273037, -97.759986)"
GALLERIA OAKS / GALLERIA OAKS 1,Workplace,40A,RMR Real Estate Services,3927 Ranch Rd 620 S,,1,Austin,Texas,78738,2,30.313121,"(30.313121, -97.946493)"
PIE AE / MACC STATION 1,Municipal,40A,AUSTIN ENERGY,600 River St.,,,Austin,Texas,78701,2,30.258523,"(30.258523, -97.739467)"
PARMER AUSTIN / STATION PIC 4,Workplace,,Parmer Innovation Centers-Austin,509 E Howard Ln,,,Austin,Texas,78753,2,30.411955,"(30.411955, -97.652813)"
HEB / HEB LAKEWAY #2,Retail,30A,H-E-B Grocery- (Austin Energy),2000 Ranch Rd 620 S,,,Lakeway,Texas,78734,2,30.344254,"(30.344254, -97.967587)"
THE MEDVE GROUP / ARTS S AUSTIN,Multifamily Commercial,40A,Daniel Medve Properties,400 W St Elmo Rd,,,Austin,Texas,78745,2,30.221064,"(30.221064, -97.770408)"
PARK&ZOOM / VALET #6,Parking,40A,Scott Airport Parking LLC,9518 Hotel Dr,,,Austin,Texas,78719,2,30.211848,"(30.211848, -97.662017)"
SOLARWINDS / SOLARWINDS #2,Workplace,40A,"HPI Real Estate Management, Inc",7171 Southwest Pkwy,P400 Garage,,Austin,Texas,78735,2,30.250799,"(30.250799, -97.862755)"
1108 LAVACA / 1108 LAVACA ST,Multifamily Commercial,40A,D2K Properties,1108 Lavaca St.,,,Austin,Texas,78701,2,30.274383,"(30.274383, -97.743309)"
PIE AE / HAMPTON LBRY1,Parking,40A,AUSTIN ENERGY,5125 Convict Hill Rd,,,Austin,Texas,78749,2,30.218091,"(30.218091, -97.855)"
PEARL LANTANA / STATION 03,Multifamily Commercial,40A,Pearl Lantana,6401 Rialto blvd,,,Austin,Texas,78735,2,30.249694,"(30.249694, -97.856755)"
PIE AE / TLC STATION 1,Municipal,40A,AUSTIN ENERGY,721 Barton Springs Rd,,1,Austin,Texas,78704,2,30.258379,"(30.258379, -97.751993)"
ENDEAVOR REG / DELLANA LN 1,Workplace,40A,Endeavor Real Estate Group,2602 Dellana Ln,,,Austin,Texas,78746,2,30.268309,"(30.268309, -97.783776)"
GAINESRANCH / GAINES 1,Multifamily Commercial,40A,Camden Gaines Ranch,4424 Gaines Ranch Loop,,,Austin,Texas,78735,2,30.244044,"(30.244044, -97.818364)"
ENDEAVOR REG / BLUE GARAGE #7,Parking,40A,Endeavor Real Estate Group,11811 Domain Dr,,1,Austin,Texas,78758,2,30.403664,"(30.403664, -97.722523)"
CITY VIEW / STATION1,Workplace,40A,Stream City View,1250 S Capital of Texas Hwy,,,Austin,Texas,78746,2,30.280698,"(30.280698, -97.824024)"
PIE AE / PUBPEARSON CTR1,Education,40A,AUSTIN ENERGY,400 Center Ridge Dr,,,Austin,Texas,78753,2,30.417437,"(30.417437, -97.664087)"
PIE AE / PUBDENNYSNORTH2,Retail,40A,AUSTIN ENERGY,1601 Interstate 35 Frontage Road,,,Austin,Texas,78702,2,30.276571,"(30.276571, -97.729718)"
PIE AE / ERCOT 1,Workplace,40A,AUSTIN ENERGY,7620 Metro Center Dr,,,Austin,Texas,78744,2,30.2165,"(30.2165, -97.691795)"
RICHARDSON / TARRYTOWN 01,Multifamily Commercial,40A,Burlington Ventures,3101-3211 Exposition Blvd,,1,Austin,Texas,78703,2,30.308302,"(30.308302, -97.762526)"
PIE AE / PALMER STATION8,Parking,40A,AUSTIN ENERGY,846-888 Barton Springs Rd,,,Austin,Texas,78704,2,30.259864,"(30.259864, -97.752661)"
PIE-CAPRIDGE / #1,Workplace,40A,CapRidge Partners,115 Wild Basin Rd,,,Austin,Texas,78746,2,30.304182,"(30.304182, -97.828161)"
STATION 1 / PLAZA 1,Workplace,40A,"Plaza on the Lake Acquisition, LLC",5001 Plaza on the Lake,,,Austin,Texas,78746,2,30.347873,"(30.347873, -97.800826)"
ENDEAVOR REG / PALM WAY #3,Parking,40A,Endeavor Real Estate Group,Palm Way,,,Austin,Texas,78758,2,30.403626,"(30.403626, -97.719878)"
PIE AE / PUBACCRIVERSID2,Education,40A,AUSTIN ENERGY,1230-1290 Grove Blvd,,,Austin,Texas,78741,2,30.235079,"(30.235079, -97.705153)"
ENDEAVOR REG / BLUE GARAGE #2,Parking,40A,Endeavor Real Estate Group,11811 Domain Dr,,,Austin,Texas,78758,2,30.403745,"(30.403745, -97.7225)"
THE MEDVE GROUP / BARTON HILLS,Multifamily Commercial,40A,Daniel Medve Properties,1244-1298 Barton Hills Dr,,,Austin,Texas,78704,2,30.261911,"(30.261911, -97.773946)"
TR DOMAIN 11 / STATION2,Retail,,"TR Domain 11, LLC",11920 Alterra Pkwy,,1,Austin,Texas,78758,2,30.40522,"(30.40522, -97.719541)"
FOX HILL MAIN / FOX HILL MAIN,Multifamily Commercial,40A,FOX HILL APARTMENTS,8800 w hwy 290,,,Austin,Texas,78737,2,30.235116,"(30.235116, -97.917332)"
AVIATION / 2ND FLOOR L,Municipal,40A,City of Austin Dept. of Aviation,3201 Presidential Blvd,,2,Austin,Texas,78719,2,30.20473,"(30.20473, -97.669397)"
PIE AE / PUB-CENTRALMKTS,Retail,40A,AUSTIN ENERGY,4465-4475 S Lamar Blvd,,,Austin,Texas,78745,2,30.232256,"(30.232256, -97.798438)"
PIE AE / PUBGABLESPRESS1,Multifamily Commercial,40A,AUSTIN ENERGY,1313 W 6th St,,G,Austin,Texas,78703,2,30.273141,"(30.273141, -97.759947)"
PIE AE / PUBAMLI1,Parking,40A,AUSTIN ENERGY,W 3rd St,,L1,Austin,Texas,78701,2,30.266182,"(30.266182, -97.748168)"
TR DOMAIN 11 / STATION 1,Retail,30A,"TR Domain 11, LLC",11920 Alterra Pkwy,,,Austin,Texas,78758,2,30.405714,"(30.405714, -97.71939)"
PIE AE / ANIMAL SERVICE5,Parking,40A,AUSTIN ENERGY,7201 lavender loop,,,Austin,Texas,78702,2,30.251587,"(30.251587, -97.690788)"
AUSTIN / AUSTIN 200 2,Workplace,40A,Silicon Laboratories,200 W Cesar Chavez St,,G8,Austin,Texas,78701,2,30.26445,"(30.26445, -97.746142)"
HANOVER / L7,Multifamily Commercial,40A,Hanover- Green Water Block 1,110 San Antonio St,,L7,Austin,Texas,78701,1,30.265166,"(30.265166, -97.749131)"
LADERA BEND / BUILDING 3,Workplace,40A,Ladera Bend,6585-6621 Jester Blvd,,,Austin,Texas,78750,2,30.371215,"(30.371215, -97.800887)"
RPP GARAGE / ISLAND GW,Workplace,40A,Research Park Plaza,12301 Research Blvd,,,Austin,Texas,78759,2,30.428017,"(30.428017, -97.754379)"
PIE AE / WALNUTCREEKPRK1,Parks and Recreation,40A,AUSTIN ENERGY,12138 N Lamar Blvd,,,Austin,Texas,78753,2,30.398497,"(30.398497, -97.679832)"
HPE AUSTIN / TXN04 B,Workplace,40A,HPE - Austin,14231 Tandem Blvd,,,Austin,Texas,78728,2,30.445485,"(30.445485, -97.690128)"
PIE AE / PUB DELL2,Healthcare,40A,AUSTIN ENERGY,1345 Philomena St,,,Austin,Texas,78723,2,30.302551,"(30.302551, -97.707079)"
DSMCUT / EVSE03 FLOOR L5,Healthcare,40A,Dell Seton Medical Center at The University of Texas,501-573 E 15th St,,5,Austin,Texas,78701,2,30.275274,"(30.275274, -97.734552)"
COA FLEET - PIE / RUTHERFORD #7,Fleet,40A,US City of Austin Texas,1520 Rutherford Ln,,,Austin,Texas,78754,2,30.335838,"(30.335838, -97.679451)"
PIE AE / SMART CHARGE 2,Workplace,40A,AUSTIN ENERGY,2016 Centimeter Cir,,,Austin,Texas,78758,2,30.381493,"(30.381493, -97.713361)"
SAS / STATION 1,Workplace,40A,Samsung Austin Semiconductor,12100 samsung blvd,,,Austin,Texas,78754,2,30.377935,"(30.377935, -97.639951)"
ROSCOE PROPERTI / THE CONNECTION,Multifamily Commercial,40A,Roscoe Properties,4404 E Oltorf St,,,Austin,Texas,78741,2,30.227456,"(30.227456, -97.726096)"
CZPROPERTIES / FLOOR 2 UNIT 2,Workplace,40A,"CZ Properties, LLC",1400 Lavaca St,,2,Austin,Texas,78701,2,30.277056,"(30.277056, -97.742637)"
CAPMETRO / EVSE 04,Municipal,40A,Capital Metropolitan Transportation Authority,41 N Pleasant Valley Rd,,,Austin,Texas,78702,2,30.257228,"(30.257228, -97.70986)"
FLORA / STATION 2,Multifamily Commercial,40A,Flora Apartments,5406 Middle Fiskville Rd,,B2,Austin,Texas,78751,2,30.316818,"(30.316818, -97.714835)"
CIELO CENTER / STATION 2,Workplace,40A,"ATX Office Owner 5, LP",1250 S Capital of Texas Hwy,,,Austin,Texas,78746,2,30.280288,"(30.280288, -97.823472)"
MUELLER MARKET / MUELLER 5,Retail,40A,"Mueller Market Retail , LLC",1801 E 51st St,,,Austin,Texas,78723,1,30.302555,"(30.302555, -97.69899)"
AISD PAC / AISD PAC #4,Education,40A,Austin Independent School District,1301-1603 E 51st St,,,Austin,Texas,78723,2,30.305269,"(30.305269, -97.702269)"
PIE AE / RUTHERFORDCAMP2,Municipal,40A,AUSTIN ENERGY,8301 Cameron Rd,,,Austin,Texas,78754,2,30.337168,"(30.337168, -97.680607)"
COA FLEET - PIE / RUTHERFORD #2,Fleet,40A,US City of Austin Texas,1520 Rutherford Ln,,,Austin,Texas,78754,2,30.335873,"(30.335873, -97.679359)"
DSMCUT / EVSE08 G LEVEL,Healthcare,40A,Dell Seton Medical Center at The University of Texas,1305 Red River St,,,Austin,Texas,78701,2,30.275195,"(30.275195, -97.734584)"
PARKING LEVEL 1 / KENZIE 2,Multifamily Commercial,40A,The Kenzie at the Domain,11301 Domain Dr,,2,Austin,Texas,78758,2,30.399504,"(30.399504, -97.723519)"
ENDEAVOR REG / RED GARAGE #4,Parking,40A,Endeavor Real Estate Group,11501 Domain Dr,,,Austin,Texas,78758,2,30.402146,"(30.402146, -97.72321)"
DOMAIN / RIGHT STATION,Parking,40A,Domain Junction,11501 Alterra Pkwy,,,Austin,Texas,78758,1,30.401174,"(30.401174, -97.719445)"
PIE AE / SEAHOLMDC,Parking,40A,AUSTIN ENERGY,811 1/2 Electric Drive,,,Austin,Texas,78701,1,30.266814,"(30.266814, -97.754094)"
CHAMPION OFFICE / EV #2,Workplace,40A,Champion Office Park,6433 Champion Grandview Way,,1,Austin,Texas,78750,2,30.3632,"(30.3632, -97.793703)"
STEINER RANCH / EV CHARGER #2,Multifamily Commercial,40A,Bell Steiner Ranch Apartments,4800 Steiner Ranch Blvd,,,Austin,Texas,78732,2,30.383248,"(30.383248, -97.873651)"
AVIATION / 5TH FLOOR,Municipal,40A,City of Austin Dept. of Aviation,3201 Presidential Blvd,,5,Austin,Texas,78719,2,30.204665,"(30.204665, -97.66963200000001)"
MONOGRAM / PARKING 2-3,Multifamily Commercial,40A,Monogram Residential (Austin Energy Area),615 W 7th St,,,Austin,Texas,78701,2,30.270562,"(30.270562, -97.748959)"
